date,position,city,state,endorser,endorsee,endorser_party,source,order,category,body,district,points
NA,DNC member,NA,MN,Ron Harris,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MN,Debbie Goettel,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MN,J.P. Barone,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Alexis Wiley,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Virgie M. Rollins,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Daryl Newman,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Mark LaChey,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Paula Herbart,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Barry J. Goodman,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Cindy Estrada,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Shauna Ryder Diggs,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Scott Benson,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MI,Lavora R. Barnes,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ME,Kathleen Marra,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ME,Erik Gundersen,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,ME,Diane M. Denk,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Kenneth Rigmaiden,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Marc Perrone,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Gregory Pecoraro,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Glenard S. Middleton,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Cory V. McCray,NA,D,NA,NA,DNC members,NA,NA,1
NA,DNC member,NA,MD,Robert Martinez Jr.,NA,D,NA,NA,DNC members,NA,NA,1
