state,name,date,open,high,low,close,volume
NH,Democratic,2019-08-06,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,10
NH,Republican,2019-08-07,0.23,0.23,0.22,0.23,26
NH,Democratic,2019-08-07,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,5
NH,Republican,2019-08-08,0.23,0.24000000000000002,0.23,0.24000000000000002,170
NH,Democratic,2019-08-08,0.7799999999999999,0.7799999999999999,0.77,0.7799999999999999,135
NH,Republican,2019-08-09,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0
NH,Democratic,2019-08-09,0.7799999999999999,0.7799999999999999,0.77,0.77,2
NH,Republican,2019-08-10,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,108
NH,Democratic,2019-08-10,0.77,0.77,0.77,0.77,0
NH,Republican,2019-08-11,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,1
NH,Democratic,2019-08-11,0.77,0.77,0.77,0.77,0
NH,Republican,2019-08-12,0.24000000000000002,0.26,0.24000000000000002,0.25,238
NH,Democratic,2019-08-12,0.77,0.77,0.76,0.76,6
NH,Republican,2019-08-13,0.25,0.26,0.25,0.26,6
NH,Democratic,2019-08-13,0.76,0.76,0.76,0.76,0
NH,Republican,2019-08-14,0.26,0.29000000000000004,0.26,0.26,154
NH,Democratic,2019-08-14,0.76,0.76,0.76,0.76,50
NH,Republican,2019-08-15,0.26,0.26,0.26,0.26,0
NH,Democratic,2019-08-15,0.76,0.76,0.76,0.76,80
NH,Republican,2019-08-16,0.26,0.26,0.25,0.25,50
NH,Democratic,2019-08-16,0.76,0.76,0.75,0.75,205
NH,Republican,2019-08-17,0.25,0.26,0.25,0.26,7
NH,Democratic,2019-08-17,0.75,0.75,0.75,0.75,0
NH,Republican,2019-08-18,0.26,0.26,0.26,0.26,1
NH,Democratic,2019-08-18,0.75,0.75,0.75,0.75,0
NH,Republican,2019-08-19,0.26,0.26,0.25,0.25,1
NH,Democratic,2019-08-19,0.75,0.75,0.75,0.75,0
NH,Republican,2019-08-20,0.25,0.25,0.25,0.25,0
NH,Democratic,2019-08-20,0.75,0.75,0.75,0.75,0
NH,Republican,2019-08-21,0.25,0.26,0.25,0.25,82
NH,Democratic,2019-08-21,0.75,0.75,0.75,0.75,10
NH,Republican,2019-08-22,0.25,0.25,0.25,0.25,0
NH,Democratic,2019-08-22,0.75,0.77,0.75,0.77,20
NH,Republican,2019-08-23,0.25,0.25,0.24000000000000002,0.24000000000000002,50
NH,Democratic,2019-08-23,0.77,0.77,0.77,0.77,0
NH,Republican,2019-08-24,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0
NH,Democratic,2019-08-24,0.77,0.77,0.77,0.77,0
NH,Republican,2019-08-25,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0
NH,Democratic,2019-08-25,0.77,0.77,0.77,0.77,0
NH,Republican,2019-08-26,0.24000000000000002,0.26,0.24000000000000002,0.26,1
NH,Democratic,2019-08-26,0.77,0.77,0.77,0.77,0
NH,Republican,2019-08-27,0.26,0.26,0.23,0.23,1
NH,Democratic,2019-08-27,0.77,0.77,0.77,0.77,1
